learning_rate,batch_size,gradient_steps,learning_starts,buffer_size,policy_kwargs,reward
0.0005,256,1,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",255.8677481353283
0.0005,256,1,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",297.865070939064
0.0005,256,1,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",213.57959738969802
0.0005,256,1,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",327.1822792458534
0.0005,256,1,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",15.620432140827178
0.0005,256,1,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",38.38118063986301
0.0005,256,1,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",24.913177144527435
0.0005,256,1,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",32.77916761159897
0.0005,256,4,5000,100000,"{'net_arch': [128, 128], 'use_sde': False}",366.53822264909746
0.0005,256,4,5000,100000,"{'net_arch': [256, 256], 'use_sde': False}",275.52848591089247
0.0005,256,4,5000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",290.112168687582
0.0005,256,4,5000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",282.20471133589746
0.0005,256,4,10000,100000,"{'net_arch': [128, 128], 'use_sde': False}",10.94629815876484
0.0005,256,4,10000,100000,"{'net_arch': [256, 256], 'use_sde': False}",250.43647441506386
0.0005,256,4,10000,1000000,"{'net_arch': [128, 128], 'use_sde': False}",15.716176513433457
0.0005,256,4,10000,1000000,"{'net_arch': [256, 256], 'use_sde': False}",28.555656279325486
